Nick,Message,Timestamp
toratora_tt,i blocked the black guardian,2019-01-22 20:53:12
captainjotaro,did i miss brigadier?,2019-01-22 20:53:13
anesthesiacat,and a tighter shirt for teagan please,2019-01-22 20:53:15
bearchylls,sleeping on a rocking ship is ever.,2019-01-22 20:53:16
pintpullinggeek,an air stewardess who gegs,2019-01-22 20:53:20
southernuk,"i imagine the beeb serialised around the commonwealth, @scottsummers497",2019-01-22 20:53:26
dyveklykan,they are also inside your head.,2019-01-22 20:53:27
cookiemonster523,what was that :d,2019-01-22 20:53:36
terry_cooper,@captainjotaro yes. brig returns in 7th doc,2019-01-22 20:53:38
comanderskittles,aussie fam,2019-01-22 20:53:42
pintpullinggeek,an air stewardess who gets motion sick is not great,2019-01-22 20:53:42
drakooooon,:),2019-01-22 20:53:43
mitsukara,"@captainjotaro afraid so, but he'll be back in ""battlefield"" during the seventh doctor",2019-01-22 20:53:43
handcancel,"new york city checking in, laptop w/chrome browser",2019-01-22 20:53:56
anarwen,"nyssa was sick last time, now tegan",2019-01-22 20:53:59
lockark,space sick,2019-01-22 20:54:11
scottsummers497,babaara clegg should have written tegan all the time.,2019-01-22 20:54:14
xeneri,thank you! real life keeps interrupting my who time,2019-01-22 20:54:17
drakooooon,:) rupied,2019-01-22 20:54:19
xhodocto385,eldritch drink :),2019-01-22 20:54:20
luduvir,dont drink,2019-01-22 20:54:21
toratora_tt,its quite safe,2019-01-22 20:54:26
comanderskittles,aw kind lad,2019-01-22 20:54:30
mitsukara,spit swapping,2019-01-22 20:54:31
ragnador,the person who said: i want to please you. is filling her up with alcohol now.,2019-01-22 20:54:33
anesthesiacat,it's a mixture,2019-01-22 20:54:36
jovetne,"motion sickness is awful when it happens to you, though",2019-01-22 20:54:40
ph33ni3,:),2019-01-22 20:54:41
srchow,welp some one call the cops,2019-01-22 20:54:41
lancelive,i love tegan so much,2019-01-22 20:54:46
drakooooon,:),2019-01-22 20:55:05
scarvesandcelery2,"@scottsummers497 barbara clegg should have written more doctor who, full stop",2019-01-22 20:55:05
supaflash82,stranger danger,2019-01-22 20:55:05
terry_cooper,drink thr kool aid,2019-01-22 20:55:06
toratora_tt,you would only be int ehway,2019-01-22 20:55:06
nickydrinks,he's like someone's dad dressed as ron weasley for halloween,2019-01-22 20:55:12
johnniles,:),2019-01-22 20:55:12
xhodocto385,eternal :) stalker,2019-01-22 20:55:14
xeneri,tegan is a good egg,2019-01-22 20:55:15
mitsukara,"drinking out of someone else's glass is a terrible idea unless you're sure they're of good health with absolutely no diseases, you can catch serious problems that way",2019-01-22 20:55:18
cmc12345678war910111213,@xeneri same,2019-01-22 20:55:22
anesthesiacat,whose clothes are those,2019-01-22 20:55:22
potassionite,marker buoy,2019-01-22 20:55:28
melikesong,hmmmm,2019-01-22 20:55:31
comanderskittles,@jovetne i,2019-01-22 20:55:31
toratora_tt,"those voices,rude",2019-01-22 20:55:36
potassionite,laughing my ass off greeks,2019-01-22 20:55:40
xhodocto385,greek people,2019-01-22 20:55:44
vivtheimplier,doc's at maximum floof here,2019-01-22 20:55:48
pawpawsnake,civilization?,2019-01-22 20:55:49
scrap104,rowing in space,2019-01-22 20:55:51
anesthesiacat,marker bois,2019-01-22 20:55:54
c141c130,raming speed,2019-01-22 20:55:58
potassionite,mmm stomach,2019-01-22 20:55:59
nickydrinks,zoom back out please god,2019-01-22 20:56:02
xhodocto385,fusion of cultures,2019-01-22 20:56:03
kdoomed,hehe floof,2019-01-22 20:56:03
drakooooon,1600 spanish,2019-01-22 20:56:10
tehepicjack,juul should definitely be worried about,2019-01-22 20:56:16
drakooooon,history lesson,2019-01-22 20:56:22
kdoomed,zoom enhance,2019-01-22 20:56:22
xhodocto385,photo :d,2019-01-22 20:56:26
jovetne,notice the room. notice the photo of auntie venessa,2019-01-22 20:56:31
docmemory,this could go bad real quick!,2019-01-22 20:56:36
terry_cooper,was that tegan's charleston dress on the chair??,2019-01-22 20:56:37
nickydrinks,wake up and drink this booze,2019-01-22 20:56:40
lancelive,turlough finally being a good lad,2019-01-22 20:56:42
comanderskittles,rap,2019-01-22 20:56:42
toratora_tt,dont you dare turlough,2019-01-22 20:56:49
mosborg,space sick :d,2019-01-22 20:56:52
comanderskittles,now kiss,2019-01-22 20:57:01
supaflash82,tegan your drunk,2019-01-22 20:57:02
changewinds,aww missed the rest of terminus,2019-01-22 20:57:04
jovetne,rip auntie vanessa,2019-01-22 20:57:13
johnniles,:(,2019-01-22 20:57:15
xhodocto385,memory warp,2019-01-22 20:57:18
scotchcraft,say i'm starting to think this isn't a regular ship,2019-01-22 20:57:19
handcancel,aunt ve,2019-01-22 20:57:20
mistersp00n,aunt vanessa picture no longer to scale :p,2019-01-22 20:57:24
taiki14x,aunt vanessa :(,2019-01-22 20:57:28
jovetne,@terry_cooper didn't see! i'll have to check for that next time,2019-01-22 20:57:32
toratora_tt,rummaging,2019-01-22 20:57:35
supaflash82,yay aunt vanessa,2019-01-22 20:57:39
margflower,@mistersp00n too soon,2019-01-22 20:57:42
jkh08,was hoping terminus might be still on,2019-01-22 20:57:45
potassionite,aunt vanessa pre-tissue compression eliminator,2019-01-22 20:57:50
drakooooon,hes a swampie lover,2019-01-22 20:57:56
c141c130,space battleship yamato with war games vibe,2019-01-22 20:57:58
stufew,they got the actress who played aunt vanessa in just to take that photo,2019-01-22 20:58:01
potassionite,eternity lord,2019-01-22 20:58:11
comanderskittles,@toratora_tt vinsluer toulogh dont you darree,2019-01-22 20:58:12
frostiepuffs,***,2019-01-22 20:58:14
glennrules,who is watching doctor who for the first time,2019-01-22 20:58:19
captainjotaro,this music,2019-01-22 20:58:20
southernuk,"a lord of time? what is this, metal gear?",2019-01-22 20:58:21
mosborg,sourpls,2019-01-22 20:58:21
cupoftea0,music,2019-01-22 20:58:22
mitsukara,"seriously, doctor who is the goofy helmets show",2019-01-22 20:58:23
ragnador,power rangers,2019-01-22 20:58:23
dyveklykan,he's so carefully blank.,2019-01-22 20:58:24
peacock486,sourpls,2019-01-22 20:58:28
jkh08,that role was originally going to be for peter (wallis),2019-01-22 20:58:37
toratora_tt,sorry,2019-01-22 20:58:37
terry_cooper,there's klingons on the starboard bow!,2019-01-22 20:58:40
scottsummers497,"@stufew it's such a good story, it's money well spent.",2019-01-22 20:58:43
drakooooon,sailors music,2019-01-22 20:58:45
ezco81,time captain > time lord,2019-01-22 20:58:45
comanderskittles,power rangers,2019-01-22 20:58:46
dyveklykan,sometimes the same helmet over and over again.,2019-01-22 20:58:47
jkh08,wallace (sorry),2019-01-22 20:58:51
bigforti,pokmewtwo,2019-01-22 20:58:51
drakooooon,1900 boats,2019-01-22 20:59:04
potassionite,well done for being subtle,2019-01-22 20:59:06
captainjotaro,classic who has that cheesy charm that modern who doesn't.,2019-01-22 20:59:09
scottsummers497,this story has a real hartnell era-vibe (all the dark universe).,2019-01-22 20:59:12
whokn0ws54,@glennrules i'm watching it for the first time today :d,2019-01-22 20:59:15
dyveklykan,"well, it was gromit last story.",2019-01-22 20:59:16
vascof2001,its no use prevaricating about the bush whsooost,2019-01-22 20:59:17
potassionite,it's in the water,2019-01-22 20:59:20
anesthesiacat,oh thank you person,2019-01-22 20:59:25
comanderskittles,hev suits,2019-01-22 20:59:28
drakooooon,cheesey? dont you mean extinct?,2019-01-22 20:59:50
roaminganon,but where's the rum?,2019-01-22 20:59:52
toratora_tt,turlough looks evil,2019-01-22 20:59:56
milknmiffle,get those men aloft,2019-01-22 21:00:00
supaflash82,ac black flag,2019-01-22 21:00:03
potassionite,what a merry sea shanty,2019-01-22 21:00:08
roaminganon,power rangers? :d,2019-01-22 21:00:14
ezco81,"grog, grog, grog, grog!",2019-01-22 21:00:32
captainjotaro,@toratora_tt he was to originally assassinate the doctor.,2019-01-22 21:00:44
comanderskittles,l its legit the hev suits from half life,2019-01-22 21:00:45
potassionite,acting,2019-01-22 21:00:46
supaflash82,male fools,2019-01-22 21:00:48
drakooooon,we hit it chat,2019-01-22 21:00:58
potassionite,@captainjotaro to kill the docta,2019-01-22 21:01:06
anesthesiacat,these sailors on the moon are crazy,2019-01-22 21:01:07
handcancel,similar to the crisis inducer in hhgttg,2019-01-22 21:01:09
jovetne,"""all for me grog""",2019-01-22 21:01:15
midwintermoon,those special effects hold up! i really felt like they hit...,2019-01-22 21:01:16
spectatorlo_ol,winning takes all,2019-01-22 21:01:18
toratora_tt,thx,2019-01-22 21:01:25
southernuk,f,2019-01-22 21:01:28
jive_turkey1999,f,2019-01-22 21:01:32
fuzzycorona,f,2019-01-22 21:01:33
rafael_de8,f,2019-01-22 21:01:35
drjoshua1963,he doesn't wanna talk about things he's gone through,2019-01-22 21:01:37
zekrown_,f,2019-01-22 21:01:41
serenity39,rum,2019-01-22 21:01:45
